2023,Chevy,Malibu,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to the 'Vehicle Information' menu. 3. Use the lever to find the 'Oil Life' option. 4. Press the 'Set/Reset' button to select it. 5. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2023,Chevy,Equinox,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC (Driver Information Center) buttons on the steering wheel to navigate to the 'Info' page. 3. Scroll to the 'Remaining Oil Life' screen. 4. Press and hold the 'Check' or 'Set/Reset' button until the oil life display resets to 100%.
2023,Chevy,Traverse,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Vehicle Info' button until 'Oil Life' is displayed. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2023,Chevy,Blazer,1. Turn the ignition to 'On' without starting the engine. 2. Use the steering wheel controls to navigate to the 'Vehicle Info' menu. 3. Select 'Oil Life'. 4. Press and hold the 'OK' button until the oil life resets to 100%.
2023,Chevy,Trailblazer,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to 'Oil Life'. 3. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2023,Chevy,Tahoe,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to display the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2023,Chevy,Suburban,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2023,Chevy,Trax,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button to scroll to 'Vehicle Info'. 3. Select 'Oil Life'. 4. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2023,Chevy,Bolt EV,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to 'Oil Life'. 3. Press and hold the 'Check' button until the oil life display resets to 100%.
2023,Chevy,Camaro,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to find the 'Oil Life' menu. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2022,Chevy,Malibu,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to the 'Vehicle Information' menu. 3. Use the lever to find the 'Oil Life' option. 4. Press the 'Set/Reset' button to select it. 5. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2022,Chevy,Equinox,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC (Driver Information Center) buttons on the steering wheel to navigate to the 'Info' page. 3. Scroll to the 'Remaining Oil Life' screen. 4. Press and hold the 'Check' or 'Set/Reset' button until the oil life display resets to 100%.
2022,Chevy,Traverse,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Vehicle Info' button until 'Oil Life' is displayed. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2022,Chevy,Blazer,1. Turn the ignition to 'On' without starting the engine. 2. Use the steering wheel controls to navigate to the 'Vehicle Info' menu. 3. Select 'Oil Life'. 4. Press and hold the 'OK' button until the oil life resets to 100%.
2022,Chevy,Trailblazer,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to 'Oil Life'. 3. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2022,Chevy,Tahoe,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to display the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2022,Chevy,Suburban,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2022,Chevy,Trax,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button to scroll to 'Vehicle Info'. 3. Select 'Oil Life'. 4. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2022,Chevy,Bolt EV,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to 'Oil Life'. 3. Press and hold the 'Check' button until the oil life display resets to 100%.
2022,Chevy,Camaro,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to find the 'Oil Life' menu. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2021,Chevy,Malibu,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to the 'Vehicle Information' menu. 3. Use the lever to find the 'Oil Life' option. 4. Press the 'Set/Reset' button to select it. 5. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2021,Chevy,Equinox,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC (Driver Information Center) buttons on the steering wheel to navigate to the 'Info' page. 3. Scroll to the 'Remaining Oil Life' screen. 4. Press and hold the 'Check' or 'Set/Reset' button until the oil life display resets to 100%.
2021,Chevy,Traverse,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Vehicle Info' button until 'Oil Life' is displayed. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2021,Chevy,Blazer,1. Turn the ignition to 'On' without starting the engine. 2. Use the steering wheel controls to navigate to the 'Vehicle Info' menu. 3. Select 'Oil Life'. 4. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Chevy,Trailblazer,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to 'Oil Life'. 3. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2021,Chevy,Tahoe,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to display the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2021,Chevy,Suburban,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2021,Chevy,Trax,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button to scroll to 'Vehicle Info'. 3. Select 'Oil Life'. 4. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2021,Chevy,Bolt EV,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to 'Oil Life'. 3. Press and hold the 'Check' button until the oil life display resets to 100%.
2021,Chevy,Camaro,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to find the 'Oil Life' menu. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2020,Chevy,Malibu,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to the 'Vehicle Information' menu. 3. Use the lever to find the 'Oil Life' option. 4. Press the 'Set/Reset' button to select it. 5. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2020,Chevy,Equinox,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC (Driver Information Center) buttons on the steering wheel to navigate to the 'Info' page. 3. Scroll to the 'Remaining Oil Life' screen. 4. Press and hold the 'Check' or 'Set/Reset' button until the oil life display resets to 100%.
2020,Chevy,Traverse,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Vehicle Info' button until 'Oil Life' is displayed. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2020,Chevy,Blazer,1. Turn the ignition to 'On' without starting the engine. 2. Use the steering wheel controls to navigate to the 'Vehicle Info' menu. 3. Select 'Oil Life'. 4. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Chevy,Trailblazer,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button on the turn signal lever to scroll to 'Oil Life'. 3. Press and hold the 'Set/Reset' button until the oil life display resets to 100%.
2020,Chevy,Tahoe,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to display the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2020,Chevy,Suburban,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to the 'Oil Life' screen. 3. Press and hold the 'Check' or 'Set/Reset' button until the oil life resets to 100%.
2020,Chevy,Trax,1. Turn the ignition to 'On' without starting the engine. 2. Press the 'Menu' button to scroll to 'Vehicle Info'. 3. Select 'Oil Life'. 4. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2020,Chevy,Bolt EV,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to navigate to 'Oil Life'. 3. Press and hold the 'Check' button until the oil life display resets to 100%.
2020,Chevy,Camaro,1. Turn the ignition to 'On' without starting the engine. 2. Use the DIC buttons to find the 'Oil Life' menu. 3. Press and hold the 'Set/Reset' button until the oil life resets to 100%.
2020,Ford,F-150,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Advanced Settings'. 4. Select 'Vehicle'. 5. Select 'Oil Life Reset'. 6. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Explorer,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Escape,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Edge,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Fusion,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Mustang,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,EcoSport,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Expedition,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Ranger,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2020,Ford,Transit,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,F-150,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Advanced Settings'. 4. Select 'Vehicle'. 5. Select 'Oil Life Reset'. 6. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Explorer,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Escape,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Edge,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Fusion,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Mustang,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,EcoSport,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Expedition,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Ranger,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2021,Ford,Transit,1. Turn the ignition to 'On' without starting the engine. 2. Use the arrow keys on the steering wheel to navigate to the 'Settings' menu. 3. Select 'Vehicle'. 4. Select 'Oil Life Reset'. 5. Press and hold the 'OK' button until the oil life resets to 100%.
2022, Ford, EcoSport, 1. Turn the ignition to the on position without starting the engine. 2. Press the gas and brake pedals at the same time. 3. Hold both pedals down for about 25 seconds until the Service: Oil Reset Complete message appears.
2022, Ford, Escape, 1. Turn the ignition on without starting the engine. 2. Press both the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2022, Ford, Bronco, 1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2022, Ford, Bronco Sport, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2022, Ford, Edge, 1. Turn the ignition to the on position without starting the engine. 2. Press both the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2022, Ford, Explorer, 1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2022, Ford, Expedition, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2022, Ford, F-150, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Advanced Settings > Vehicle > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2022, Ford, Mustang, 1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2022, Ford, Ranger, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2022, Ford, Transit Connect, 1. Turn the ignition to the on position without starting the engine. 2. Press the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2022, Ford, Maverick, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2022, Ford, Mach-E, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2023, Ford, EcoSport, 1. Turn the ignition to the on position without starting the engine. 2. Press the gas and brake pedals at the same time. 3. Hold both pedals down for about 25 seconds until the Service: Oil Reset Complete message appears.
2023, Ford, Escape, 1. Turn the ignition on without starting the engine. 2. Press both the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2023, Ford, Bronco, 1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2023, Ford, Bronco Sport, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2023, Ford, Edge, 1. Turn the ignition to the on position without starting the engine. 2. Press both the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2023, Ford, Explorer, 1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2023, Ford, Expedition, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2023, Ford, F-150, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Advanced Settings > Vehicle > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2023, Ford, Mustang, 1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2023, Ford, Ranger, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2023, Ford, Transit Connect, 1. Turn the ignition to the on position without starting the engine. 2. Press the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2023, Ford, Maverick, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2023, Ford, Mach-E, 1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Ford,EcoSport,1. Turn the ignition to the on position without starting the engine. 2. Press the gas and brake pedals at the same time. 3. Hold both pedals down for about 25 seconds until the Service: Oil Reset Complete message appears.
2024,Ford,Escape,1. Turn the ignition on without starting the engine. 2. Press both the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2024,Ford,Bronco,1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2024,Ford,Bronco Sport,1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Ford,Edge,1. Turn the ignition to the on position without starting the engine. 2. Press both the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2024,Ford,Explorer,1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2024,Ford,Expedition,1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Ford,F-150,1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Advanced Settings > Vehicle > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Ford,Mustang,1. Turn the ignition to the on position without starting the engine. 2. Use the arrow buttons on the steering wheel to select Settings and then Vehicle. 3. Select Oil Life Reset and hold the OK button until the reset is complete.
2024,Ford,Ranger,1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Ford,Transit Connect,1. Turn the ignition to the on position without starting the engine. 2. Press the brake and accelerator pedals fully for 20-25 seconds. 3. Wait for the Service: Oil Reset Complete message to appear on the screen.
2024,Ford,Maverick,1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Ford,Mach-E,1. Turn the ignition on without starting the engine. 2. Use the controls on the steering wheel to navigate to Settings > Oil Life Reset. 3. Press and hold the OK button until the oil life is reset to 100%.
2024,Nissan,Altima,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Nissan,Maxima,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Nissan,Sentra,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Nissan,Rogue,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Nissan,Pathfinder,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,Camry,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,Corolla,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,Rav4,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,Tacoma,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,Tundra,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Jeep,Cherokee,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Jeep,Grand Cherokee,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Jeep,Wrangler,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Dodge,Challenger,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Dodge,Charger,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Dodge,Durango,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Ram,1500,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Ram,2500,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Ram,3500,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Nissan,Versa,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Nissan,Murano,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,Highlander,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2024,Toyota,4Runner,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2023,Nissan,Altima,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2023,Nissan,Maxima,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2023,Nissan,Sentra,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2023,Nissan,Rogue,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2023,Nissan,Pathfinder,1. Turn the ignition to the on position without starting the engine. 2. Press the accelerator pedal fully 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
2023,Toyota,Camry,1. Turn the ignition to the on position without starting the engine. 2. Fully press the accelerator pedal 3 times within 5 seconds. 3. Wait for the Oil Reset Complete message to appear.
